step,time,model,θ0,θ1,θ2,θ3,θ4,θ5,θ6
0,0.0502,GRU,1.300665,0.893988,0.909881,0.848929,0.899179,0.828735,0.951456
1,0.1505,GRU,1.620415,0.680578,0.810586,0.59549,0.728663,0.554787,0.867305
2,0.2508,GRU,1.861058,0.420653,0.692173,0.308069,0.508492,0.259871,0.73898
3,0.3512,GRU,1.95228,0.246395,0.610945,0.141091,0.349412,0.107575,0.603017
4,0.4515,GRU,1.977877,0.165897,0.589268,0.078057,0.282576,0.057638,0.51202
5,0.5518,GRU,1.986642,0.124425,0.595001,0.053224,0.258012,0.039255,0.462893
6,0.6522,GRU,1.990694,0.098285,0.608704,0.040875,0.247929,0.030294,0.436045
7,0.7525,GRU,1.993031,0.079739,0.624391,0.033335,0.243355,0.024904,0.419944
8,0.8528,GRU,1.994574,0.065729,0.640318,0.028081,0.24139,0.021207,0.409263
9,0.9532,GRU,1.995679,0.054747,0.655954,0.024115,0.240942,0.018448,0.401513
10,1.0535,GRU,1.996508,0.045928,0.671128,0.020969,0.241518,0.016272,0.395448
11,1.1538,GRU,1.997152,0.038729,0.685772,0.018388,0.242848,0.014489,0.390394
12,1.2542,GRU,1.997662,0.032781,0.69985,0.016222,0.244766,0.012987,0.385969
13,1.3545,GRU,1.998072,0.027826,0.713336,0.014374,0.247159,0.011696,0.381946
14,1.4548,GRU,1.998406,0.023671,0.726212,0.012777,0.249945,0.010571,0.378186
15,1.5552,GRU,1.99868,0.020171,0.738466,0.011386,0.253067,0.009579,0.374603
16,1.6555,GRU,1.998906,0.017214,0.750091,0.010165,0.256478,0.008698,0.371142
17,1.7559,GRU,1.999094,0.01471,0.761083,0.00909,0.260147,0.00791,0.36777
18,1.8562,GRU,1.999249,0.012585,0.771442,0.008139,0.264048,0.007202,0.364466
19,1.9565,GRU,1.999379,0.010782,0.781171,0.007297,0.268162,0.006564,0.361216
20,2.0569,GRU,1.999487,0.009252,0.790274,0.006549,0.272474,0.005989,0.358012
21,2.1572,GRU,1.999577,0.007952,0.798757,0.005886,0.27697,0.005469,0.354851
22,2.2575,GRU,1.999651,0.00685,0.806625,0.005297,0.281639,0.004999,0.351729
23,2.3579,GRU,1.999713,0.005916,0.813886,0.004774,0.286469,0.004574,0.348647
24,2.4582,GRU,1.999765,0.005124,0.82055,0.00431,0.291451,0.004189,0.345604
25,2.5585,GRU,1.999808,0.004455,0.826625,0.003899,0.296573,0.003843,0.342601
26,2.6589,GRU,1.999843,0.00389,0.832122,0.003535,0.301824,0.00353,0.339639
27,2.7592,GRU,1.999872,0.003414,0.837052,0.003214,0.30719,0.003248,0.336717
28,2.8595,GRU,1.999896,0.003012,0.841427,0.00293,0.312659,0.002994,0.333837
29,2.9599,GRU,1.999916,0.002675,0.845261,0.002679,0.318216,0.002766,0.330999
30,3.0602,GRU,1.999933,0.002381,0.841908,0.002448,0.323797,0.002532,0.329321
31,3.1605,GRU,1.999947,0.002135,0.840442,0.002247,0.328964,0.002342,0.32359
32,3.2609,GRU,1.999958,0.00194,0.842172,0.002077,0.33402,0.00218,0.320511
33,3.3612,GRU,1.999966,0.001778,0.843961,0.00193,0.339161,0.002037,0.317802
